Nursing summary from all date ranges
Average feedings per day: 10.1
Average minutes per feeding per day: 16.2
Average total minutes per day: 159.6

Oct 16 2017,,Feedings 3,Average 13.4 minutes,Total 40.1 minutes
Start,End,Duration,Entry,Notes,Location
3:27 am,3:40 am,11 minutes,Nursed from left breast,,
3:46 am,3:53 am,7 minutes,Nursed from right breast,,
6:04 am,6:12 am,7 minutes,Nursed from left breast,,
6:15 am,6:17 am,2 minutes,Nursed from right breast,,
7:31 am,7:42 am,11 minutes,Nursed from left breast,,

Oct 15 2017,,Feedings 10,Average 22.4 minutes,Total 224.4 minutes
Start,End,Duration,Entry,Notes,Location
12:16 am,12:25 am,8 minutes,Nursed from left breast,,
12:31 am,12:47 am,16 minutes,Nursed from right breast,,
12:54 am,12:56 am,1 minute,Nursed from left breast,,
4:03 am,4:10 am,7 minutes,Nursed from left breast,,
4:13 am,4:17 am,2 minutes,Nursed from right breast,,
4:19 am,4:22 am,3 minutes,Nursed from right breast,,
5:37 am,5:41 am,4 minutes,Nursed from right breast,,
5:42 am,5:49 am,5 minutes,Nursed from right breast,,
5:51 am,5:58 am,7 minutes,Nursed from left breast,,
7:23 am,7:36 am,13 minutes,Nursed from left breast,,
7:37 am,7:40 am,3 minutes,Nursed from right breast,,
8:25 am,8:36 am,9 minutes,Nursed from right breast,,
8:37 am,8:40 am,2 minutes,Nursed from left breast,,
8:45 am,8:49 am,3 minutes,Nursed from left breast,,
9:52 am,9:58 am,6 minutes,Nursed from right breast,,
10:18 am,10:30 am,11 minutes,Nursed from left breast,,
10:41 am,10:44 am,2 minutes,Nursed from right breast,,
1:12 pm,1:22 pm,10 minutes,Nursed from left breast,,
1:34 pm,1:50 pm,15 minutes,Nursed from right breast,,
3:52 pm,3:59 pm,6 minutes,Nursed from left breast,,
4:23 pm,4:31 pm,7 minutes,Nursed from left breast,,
4:31 pm,4:46 pm,12 minutes,Nursed from right breast,,
4:50 pm,4:55 pm,4 minutes,Nursed from right breast,,
5:22 pm,5:33 pm,10 minutes,Nursed from right breast,,
5:46 pm,5:54 pm,7 minutes,Nursed from left breast,,
6:16 pm,6:27 pm,10 minutes,Nursed from right breast,,
6:58 pm,7:08 pm,10 minutes,Nursed from left breast,,
7:12 pm,7:16 pm,3 minutes,Nursed from right breast,,
11:04 pm,11:15 pm,10 minutes,Nursed from right breast,,
11:20 pm,11:26 pm,6 minutes,Nursed from left breast,,

Oct 14 2017,,Feedings 9,Average 23.8 minutes,Total 213.8 minutes
Start,End,Duration,Entry,Notes,Location
2:12 am,2:25 am,11 minutes,Nursed from right breast,,
2:35 am,2:42 am,6 minutes,Nursed from left breast,,
5:00 am,5:15 am,12 minutes,Nursed from left breast,,
5:18 am,5:25 am,6 minutes,Nursed from right breast,,
7:24 am,7:36 am,9 minutes,Nursed from right breast,,
7:39 am,7:44 am,5 minutes,Nursed from left breast,,
8:35 am,8:49 am,10 minutes,Nursed from left breast,,
10:03 am,10:05 am,1 minute,Nursed from right breast,,
10:13 am,10:23 am,10 minutes,Nursed from right breast,,
10:25 am,10:29 am,3 minutes,Nursed from left breast,,
10:30 am,10:34 am,2 minutes,Nursed from left breast,,
10:40 am,10:52 am,11 minutes,Nursed from left breast,,
11:50 am,12:03 pm,9 minutes,Nursed from right breast,,
12:08 pm,12:21 pm,12 minutes,Nursed from left breast,,
1:37 pm,1:48 pm,5 minutes,Nursed from right breast,,
2:01 pm,2:16 pm,13 minutes,Nursed from right breast,,
2:17 pm,2:26 pm,7 minutes,Nursed from left breast,,
2:47 pm,2:55 pm,6 minutes,Nursed from left breast,,
3:14 pm,3:22 pm,8 minutes,Nursed from right breast,,
3:39 pm,3:45 pm,5 minutes,Nursed from left breast,,
3:50 pm,4:26 pm,4 minutes,Nursed from left breast,,
5:08 pm,5:12 pm,4 minutes,Nursed from right breast,,
5:27 pm,5:40 pm,11 minutes,Nursed from left breast,,
6:19 pm,6:35 pm,13 minutes,Nursed from right breast,,
6:52 pm,7:03 pm,9 minutes,Nursed from left breast,,
7:18 pm,7:22 pm,4 minutes,Nursed from right breast,,
7:33 pm,7:39 pm,5 minutes,Nursed from right breast,,

Oct 13 2017,,Feedings 10,Average 22.3 minutes,Total 222.6 minutes
Start,End,Duration,Entry,Notes,Location
12:51 am,1:02 am,11 minutes,Nursed from right breast,,
1:04 am,1:12 am,7 minutes,Nursed from left breast,,
3:39 am,3:41 am,2 minutes,Nursed from right breast,,
3:43 am,3:48 am,5 minutes,Nursed from left breast,,
3:55 am,4:01 am,6 minutes,Nursed from left breast,,
4:09 am,4:10 am,1 minute,Nursed from right breast,,
4:11 am,4:15 am,4 minutes,Nursed from right breast,,
6:30 am,6:36 am,4 minutes,Nursed from left breast,,
6:48 am,6:55 am,6 minutes,Nursed from left breast,,
6:59 am,7:05 am,4 minutes,Nursed from right breast,,
7:09 am,7:11 am,2 minutes,Nursed from right breast,,
8:18 am,8:22 am,3 minutes,Nursed from left breast,,
8:33 am,8:40 am,7 minutes,Nursed from left breast,,
9:04 am,9:11 am,6 minutes,Nursed from right breast,,
10:18 am,10:27 am,8 minutes,Nursed from right breast,,
10:29 am,10:33 am,2 minutes,Nursed from left breast,,
10:49 am,11:01 am,11 minutes,Nursed from left breast,,
11:41 am,11:43 am,1 minute,Nursed from right breast,,
11:43 am,11:50 am,6 minutes,Nursed from right breast,,
11:52 am,11:55 am,2 minutes,Nursed from left breast,,
12:20 pm,12:35 pm,14 minutes,Nursed from left breast,,
1:09 pm,1:11 pm,2 minutes,Nursed from right breast,,
1:16 pm,1:21 pm,5 minutes,Nursed from right breast,,
2:38 pm,2:43 pm,5 minutes,Nursed from left breast,,
2:52 pm,3:07 pm,13 minutes,Nursed from left breast,,
3:17 pm,3:28 pm,7 minutes,Nursed from right breast,,
4:38 pm,4:47 pm,8 minutes,Nursed from right breast,,
4:47 pm,4:52 pm,4 minutes,Nursed from left breast,,
5:32 pm,5:41 pm,7 minutes,Nursed from left breast,,
5:57 pm,6:06 pm,9 minutes,Nursed from right breast,,
6:30 pm,6:34 pm,3 minutes,Nursed from left breast,,
6:45 pm,6:51 pm,1 minute,Nursed from left breast,,
7:21 pm,7:41 pm,19 minutes,Nursed from right breast,,
7:42 pm,7:49 pm,6 minutes,Nursed from left breast,,
8:14 pm,8:20 pm,6 minutes,Nursed from left breast,,

Oct 12 2017,,Feedings 12,Average 19.8 minutes,Total 237.9 minutes
Start,End,Duration,Entry,Notes,Location
12:12 am,12:17 am,5 minutes,Nursed from right breast,,
3:08 am,3:23 am,13 minutes,Nursed from right breast,,
3:25 am,3:36 am,8 minutes,Nursed from left breast,,
5:11 am,5:20 am,8 minutes,Nursed from left breast,,
5:24 am,5:29 am,5 minutes,Nursed from right breast,,
7:07 am,7:12 am,5 minutes,Nursed from right breast,,
7:15 am,7:24 am,8 minutes,Nursed from right breast,,
7:30 am,7:32 am,2 minutes,Nursed from left breast,,
7:36 am,7:43 am,6 minutes,Nursed from left breast,,
8:32 am,8:47 am,14 minutes,Nursed from left breast,,
9:49 am,10:00 am,8 minutes,Nursed from right breast,,
10:16 am,10:30 am,13 minutes,Nursed from left breast,,
11:00 am,11:11 am,10 minutes,Nursed from left breast,,
12:37 pm,12:42 pm,4 minutes,Nursed from right breast,,
12:44 pm,12:52 pm,7 minutes,Nursed from right breast,,
12:52 pm,12:58 pm,5 minutes,Nursed from left breast,,
12:59 pm,1:00 pm,1 minute,Nursed from left breast,,
1:42 pm,1:49 pm,7 minutes,Nursed from left breast,,
2:48 pm,2:55 pm,6 minutes,Nursed from right breast,,
2:58 pm,3:13 pm,8 minutes,Nursed from right breast,,
3:20 pm,3:25 pm,4 minutes,Nursed from left breast,,
3:51 pm,3:53 pm,2 minutes,Nursed from right breast,,
5:34 pm,5:46 pm,11 minutes,Nursed from left breast,,
5:56 pm,6:02 pm,6 minutes,Nursed from right breast,,
6:40 pm,6:56 pm,15 minutes,Nursed from right breast,,
6:58 pm,7:10 pm,11 minutes,Nursed from left breast,,
7:16 pm,7:25 pm,9 minutes,Nursed from left breast,,
